60618, 0.05, 0.02, 0.03
60770, 0.06, 0.01, 0.04
60921, 0.06, 0.02, 0.04
61073, 0.05, 0.02, 0.03
61224, 0.06, 0.02, 0.03
61376, 0.04, 0.02, 0.02
61528, 0.06, 0.02, 0.04
61679, 0.04, 0.01, 0.03
61831, 0.05, 0.02, 0.03
61982, 0.07, 0.02, 0.05
62134, 0.06, 0.02, 0.03
62285, 0.06, 0.02, 0.04
62437, 0.06, 0.02, 0.04
62588, 0.06, 0.02, 0.03
62740, 0.05, 0.02, 0.03
62892, 0.06, 0.02, 0.04
63043, 0.05, 0.01, 0.03
63195, 0.06, 0.02, 0.04
63346, 0.07, 0.02, 0.04
63498, 0.05, 0.01, 0.04
63649, 0.05, 0.02, 0.03
63801, 0.05, 0.01, 0.03
63952, 0.06, 0.04, 0.02
64104, 0.05, 0.01, 0.04
64256, 0.04, 0.02, 0.02
64407, 0.06, 0.02, 0.04
64559, 0.06, 0.02, 0.04
64710, 0.06, 0.01, 0.05
64862, 0.05, 0.02, 0.03
65013, 0.06, 0.02, 0.04
65165, 0.06, 0.02, 0.04
65316, 0.06, 0.01, 0.05
65468, 0.06, 0.02, 0.04
65619, 0.06, 0.02, 0.04
65771, 0.05, 0.02, 0.03
65923, 0.06, 0.02, 0.04
66074, 0.06, 0.02, 0.03
66226, 0.06, 0.01, 0.04
66377, 0.06, 0.03, 0.03
66529, 0.06, 0.02, 0.04
66680, 0.04, 0.01, 0.03
66832, 0.06, 0.02, 0.04
66983, 0.05, 0.01, 0.03
67135, 0.05, 0.02, 0.03
67287, 0.05, 0.01, 0.03
67438, 0.06, 0.02, 0.04
67590, 0.05, 0.03, 0.02
67741, 0.05, 0.00, 0.05
67893, 0.05, 0.02, 0.02
68044, 0.05, 0.02, 0.02
68196, 0.06, 0.02, 0.04
68347, 0.06, 0.01, 0.05
68499, 0.06, 0.01, 0.05
68651, 0.05, 0.02, 0.03
68802, 0.06, 0.02, 0.04
68954, 0.05, 0.02, 0.03
69105, 0.05, 0.02, 0.03
69257, 0.05, 0.01, 0.04
69408, 0.06, 0.02, 0.04
69560, 0.05, 0.02, 0.03
69711, 0.05, 0.03, 0.02
69863, 0.04, 0.01, 0.03
70014, 0.05, 0.01, 0.04
70166, 0.05, 0.01, 0.04
70318, 0.06, 0.02, 0.03
70469, 0.05, 0.01, 0.04
70621, 0.06, 0.02, 0.04
70772, 0.06, 0.02, 0.03
70924, 0.06, 0.02, 0.04
71075, 0.05, 0.01, 0.04
71227, 0.05, 0.02, 0.03
71378, 0.06, 0.02, 0.04
71530, 0.05, 0.02, 0.03
71682, 0.05, 0.02, 0.03
71833, 0.06, 0.02, 0.03
71985, 0.05, 0.00, 0.05
72136, 0.06, 0.02, 0.04
72288, 0.05, 0.02, 0.03
72439, 0.06, 0.02, 0.04
72591, 0.05, 0.02, 0.03
72742, 0.05, 0.01, 0.04
72894, 0.06, 0.03, 0.03
73046, 0.06, 0.00, 0.06
73197, 0.06, 0.02, 0.03
73349, 0.05, 0.02, 0.03
73500, 0.05, 0.01, 0.04
73652, 0.06, 0.03, 0.03
73803, 0.05, 0.02, 0.03
73955, 0.06, 0.01, 0.04
74106, 0.05, 0.02, 0.03
74258, 0.06, 0.02, 0.04
74409, 0.05, 0.02, 0.03
74561, 0.05, 0.00, 0.05
74713, 0.05, 0.03, 0.02
74864, 0.05, 0.01, 0.04
75016, 0.06, 0.01, 0.04
75167, 0.05, 0.01, 0.04
75319, 0.05, 0.01, 0.04
75470, 0.06, 0.02, 0.04
75622, 0.05, 0.02, 0.03
75773, 0.06, 0.02, 0.04
75925, 0.05, 0.01, 0.04
76077, 0.05, 0.02, 0.03
76228, 0.05, 0.03, 0.02
76380, 0.05, 0.02, 0.02
76531, 0.06, 0.02, 0.03
76683, 0.06, 0.02, 0.04
76834, 0.06, 0.02, 0.03
76986, 0.06, 0.01, 0.04
77137, 0.06, 0.02, 0.04
77289, 0.06, 0.01, 0.04
77441, 0.05, 0.01, 0.04
77592, 0.06, 0.02, 0.04
77744, 0.06, 0.01, 0.04
77895, 0.06, 0.02, 0.04
78047, 0.06, 0.03, 0.03
78198, 0.05, 0.02, 0.03
78350, 0.04, 0.02, 0.02
78501, 0.05, 0.02, 0.03
78653, 0.06, 0.02, 0.04
78804, 0.06, 0.01, 0.05
78956, 0.05, 0.01, 0.04
79108, 0.06, 0.03, 0.02
79259, 0.06, 0.02, 0.04
79411, 0.06, 0.02, 0.04
