time, tp_a, tp_b, diff
8979,0.01,0.05,-0.04
9001,0.02,0.05,-0.03
9024,0.02,0.06,-0.04
9048,0.0,0.06,-0.05
9070,0.02,0.05,-0.03
9093,0.01,0.05,-0.04
9116,0.02,0.04,-0.02
9139,0.01,0.05,-0.04
9161,0.01,0.05,-0.04
9185,0.01,0.05,-0.04
9207,0.0,0.05,-0.04
9230,0.01,0.07,-0.06
9253,0.01,0.04,-0.03
9276,0.0,0.05,-0.04
9298,0.01,0.04,-0.03
9322,0.01,0.05,-0.04
9345,0.0,0.05,-0.04
9367,0.01,0.05,-0.04
9391,0.01,0.06,-0.05
9413,0.02,0.05,-0.03
9437,0.02,0.05,-0.03
9459,0.01,0.05,-0.04
9482,0.02,0.06,-0.04
9505,0.01,0.06,-0.05
9528,0.01,0.05,-0.04
9550,0.01,0.06,-0.05
9574,0.01,0.05,-0.04
9596,0.01,0.06,-0.05
9619,0.01,0.06,-0.05
9643,0.0,0.05,-0.05
9665,0.01,0.04,-0.03
9688,0.0,0.04,-0.04
9711,0.01,0.05,-0.04
9734,0.01,0.05,-0.04
9756,0.0,0.05,-0.05
9780,0.01,0.05,-0.04
9802,0.02,0.04,-0.02
9825,0.01,0.05,-0.04
9848,0.01,0.04,-0.03
9871,0.01,0.06,-0.05
9893,0.02,0.06,-0.04
9917,0.02,0.06,-0.04
9939,0.02,0.05,-0.03
9962,0.02,0.06,-0.04
9986,0.01,0.05,-0.04
10008,0.01,0.06,-0.04
10032,0.01,0.06,-0.04
10056,0.0,0.05,-0.04
10080,0.01,0.05,-0.03
10104,0.01,0.05,-0.04
10128,0.02,0.06,-0.04
10151,0.01,0.06,-0.04
10176,0.01,0.04,-0.03
10200,0.01,0.06,-0.04
10223,0.02,0.06,-0.04
10248,0.0,0.04,-0.04
10271,0.01,0.05,-0.04
10295,0.01,0.05,-0.04
10319,0.01,0.04,-0.02
10343,0.0,0.05,-0.04
10366,0.01,0.05,-0.04
10391,0.01,0.06,-0.04
10415,0.01,0.05,-0.04
10439,0.0,0.05,-0.05
10463,0.01,0.05,-0.04
10486,0.03,0.06,-0.03
10511,0.01,0.06,-0.05
10534,0.0,0.04,-0.04
10558,0.01,0.05,-0.04
10583,0.02,0.06,-0.04
10606,0.01,0.05,-0.04
10630,0.01,0.05,-0.04
10654,0.02,0.05,-0.03
10678,0.01,0.06,-0.04
10702,0.0,0.05,-0.04
10726,0.01,0.04,-0.03
10749,0.01,0.05,-0.04
10774,0.02,0.05,-0.03
10798,0.0,0.04,-0.04
10821,0.01,0.04,-0.03
10846,0.01,0.07,-0.05
10869,0.01,0.05,-0.03
10893,0.01,0.05,-0.03
10917,0.01,0.05,-0.03
10941,0.01,0.05,-0.04
10964,0.01,0.05,-0.04
10989,0.01,0.05,-0.04
11013,0.01,0.04,-0.03
11037,0.02,0.05,-0.03
11061,0.02,0.05,-0.03
11084,0.02,0.05,-0.02
11109,0.02,0.06,-0.04
